iter	RMSE
0	14.18038416
1	13.35331993
2	12.49070573
3	11.8104104
4	11.17600663
5	10.64236137
6	10.1822536
7	9.740822902
8	9.319633468
9	8.940828244
10	8.577634232
11	8.243267867
12	7.945609505
13	7.672793868
14	7.458738623
15	7.282902251
16	7.098139589
17	6.912105272
18	6.789377571
19	6.642343483
20	6.50589577
21	6.388266561
22	6.279955382
23	6.195441276
24	6.110602576
25	6.031107551
26	5.954411299
27	5.899915289
28	5.849939847
29	5.797378339
30	5.758732376
31	5.704520871
32	5.662518815
33	5.634674052
34	5.591403588
35	5.553581063
36	5.523609912
37	5.492720364
38	5.465048567
39	5.449680625
40	5.427003073
41	5.405729954
42	5.394072243
43	5.374031447
44	5.353147398
45	5.33977454
46	5.315831157
47	5.289505481
48	5.280224721
49	5.270403478
50	5.255900098
51	5.242390543
52	5.232718679
53	5.217730261
54	5.199707216
55	5.17978627
56	5.163895127
57	5.154518233
58	5.144399215
59	5.123419375
60	5.111576316
61	5.10572905
62	5.094920685
63	5.087923201
64	5.07966475
65	5.060704167
66	5.04287712
67	5.026373251
68	5.017010894
69	5.008118503
70	5.002019267
71	4.986639801
72	4.972123089
73	4.961144691
74	4.945884846
75	4.936266662
76	4.926511247
77	4.919642331
78	4.907228786
79	4.902270856
80	4.893278588
81	4.889866983
82	4.881269976
83	4.873062965
84	4.857289237
85	4.8401745
86	4.834441452
87	4.825757657
88	4.815985456
89	4.807163957
90	4.798366067
91	4.791419131
92	4.774647524
93	4.765041739
94	4.751858602
95	4.746588562
96	4.73555317
97	4.733552437
98	4.721102995
99	4.718275113
