iter	Passed	Remaining
0	1	146
1	3	163
2	4	154
3	5	135
4	6	124
5	7	118
6	8	109
7	9	106
8	10	102
9	10	98
10	11	95
11	12	93
12	13	90
13	14	88
14	15	89
15	16	87
16	17	86
17	18	84
18	19	82
19	20	81
20	21	79
21	22	80
22	23	78
23	24	77
24	25	75
25	26	75
26	27	74
27	28	73
28	29	72
29	30	71
30	31	70
31	32	68
32	33	67
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	39	59
40	40	58
41	41	57
42	42	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	62	32
66	63	31
67	64	30
68	65	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	75	16
82	77	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
